job_title,location,industry,skills,experience,salary_lpa,posted_date,demand_score,demand_label
Business Analyst,Chennai,IT,"sql, excel, communication",3,12,2023-08-18,114,Low
Data Analyst,Bangalore,E-Commerce,"sql, python, excel",6,10,2023-05-04,114,Low
Data Analyst,Bangalore,IT,"python, power bi, sql",5,11,2023-02-02,114,Low
Web Developer,Pune,FinTech,"javascript, react, css",7,10,2023-05-01,112,Low
Data Scientist,Hyderabad,EdTech,"ml, statistics, sql",7,10,2023-03-26,114,Low
AI Engineer,Pune,HealthTech,"ai, nlp, ml",3,6,2023-09-16,120,Medium
DevOps Engineer (Remote),Chennai,FinTech,"kubernetes, aws, docker",2,22,2024-05-31,125,High
Cloud Engineer,Hyderabad,FinTech,"azure, docker, linux",2,15,2023-07-14,121,Medium
Data Analyst (Remote),Hyderabad,EdTech,"excel, python, sql",6,25,2024-05-12,114,Low
Cyber Security Analyst,Mumbai,HealthTech,"networking, security, linux",5,13,2023-01-21,127,High
Web Developer (Remote),Hyderabad,HealthTech,"react, css, javascript",3,19,2024-07-27,112,Low
Cyber Security Analyst (Remote),Bangalore,EdTech,"networking, linux, security",4,4,2023-03-19,127,High
Business Analyst,Hyderabad,IT,"excel, communication, sql",2,10,2024-11-08,114,Low
Data Analyst,Pune,HealthTech,"power bi, excel, sql",4,8,2023-04-25,114,Low
Cloud Engineer,Pune,E-Commerce,"aws, linux, azure",3,11,2023-08-27,121,Medium
Web Developer,Delhi,HealthTech,"react, css, html",0,7,2024-12-03,112,Low
ML Engineer (Remote),Bangalore,IT,"tensorflow, ml, deep learning",6,7,2023-04-17,138,High
ML Engineer (Remote),Chennai,EdTech,"ml, python, tensorflow",1,14,2023-11-18,138,High
Software Engineer (Remote),Chennai,IT,"python, java, oops",1,22,2023-11-17,115,Medium
Cyber Security Analyst,Hyderabad,E-Commerce,"linux, networking, security",8,11,2023-11-28,127,High
AI Engineer,Chennai,IT,"ai, ml, nlp",3,20,2024-04-23,120,Medium
Business Analyst,Pune,HealthTech,"excel, sql, communication",3,13,2023-05-25,114,Low
Data Analyst (Remote),Pune,E-Commerce,"power bi, excel, python",1,5,2024-01-26,114,Low
Data Scientist,Bangalore,FinTech,"statistics, python, ml",0,8,2024-10-13,114,Low
Business Analyst,Hyderabad,IT,"sql, excel, communication",4,24,2024-05-11,114,Low
ML Engineer,Bangalore,FinTech,"ml, deep learning, tensorflow",3,9,2024-04-16,138,High
Data Scientist,Bangalore,E-Commerce,"python, sql, statistics",0,16,2023-05-09,114,Low
Web Developer,Hyderabad,HealthTech,"css, react, html",2,20,2023-08-25,112,Low
ML Engineer (Remote),Bangalore,EdTech,"python, ml, tensorflow",6,19,2023-09-23,138,High
Cyber Security Analyst,Delhi,EdTech,"networking, linux, security",1,14,2024-08-08,127,High
Business Analyst,Bangalore,E-Commerce,"communication, excel, sql",4,19,2023-03-11,114,Low
Web Developer (Remote),Bangalore,IT,"html, react, javascript",3,8,2024-12-10,112,Low
AI Engineer (Remote),Hyderabad,E-Commerce,"python, nlp, ml",4,13,2024-07-07,120,Medium
Web Developer (Remote),Chennai,HealthTech,"javascript, html, css",7,23,2024-10-10,112,Low
DevOps Engineer (Remote),Mumbai,FinTech,"docker, kubernetes, aws",0,6,2023-08-14,125,High
Web Developer,Mumbai,E-Commerce,"javascript, html, react",0,16,2023-09-24,112,Low
Data Scientist,Delhi,EdTech,"python, sql, ml",6,8,2023-06-19,114,Low
ML Engineer,Bangalore,FinTech,"python, tensorflow, deep learning",1,5,2024-07-04,138,High
AI Engineer (Remote),Chennai,HealthTech,"ml, nlp, ai",8,25,2024-04-03,120,Medium
DevOps Engineer,Hyderabad,EdTech,"aws, linux, kubernetes",6,18,2024-09-28,125,High
ML Engineer,Pune,EdTech,"ml, deep learning, tensorflow",3,22,2023-07-23,138,High
Web Developer (Remote),Bangalore,IT,"html, css, react",0,3,2023-10-02,112,Low
Data Scientist,Pune,IT,"python, statistics, ml",3,19,2024-05-22,114,Low
Software Engineer,Bangalore,EdTech,"sql, oops, java",0,18,2024-07-22,115,Medium
ML Engineer,Chennai,E-Commerce,"deep learning, ml, tensorflow",6,11,2024-05-14,138,High
Data Scientist,Bangalore,IT,"python, sql, ml",6,16,2024-04-19,114,Low
AI Engineer (Remote),Pune,E-Commerce,"ml, python, nlp",5,19,2024-02-12,120,Medium
DevOps Engineer,Bangalore,IT,"docker, aws, linux",3,23,2023-03-03,125,High
ML Engineer,Chennai,HealthTech,"ml, tensorflow, python",1,13,2023-08-17,138,High
Business Analyst,Mumbai,IT,"communication, excel, sql",1,8,2023-08-24,114,Low
Business Analyst,Mumbai,HealthTech,"communication, sql, excel",4,6,2023-12-20,114,Low
AI Engineer,Hyderabad,FinTech,"ml, ai, nlp",4,6,2024-08-29,120,Medium
Web Developer (Remote),Pune,FinTech,"javascript, html, react",4,15,2024-12-10,112,Low
Web Developer (Remote),Pune,HealthTech,"react, javascript, css",3,4,2023-09-21,112,Low
Cloud Engineer,Pune,HealthTech,"linux, docker, azure",5,14,2023-03-12,121,Medium
Cyber Security Analyst (Remote),Pune,EdTech,"security, linux, networking",5,7,2024-09-25,127,High
Cyber Security Analyst,Mumbai,FinTech,"security, linux, networking",2,19,2023-08-14,127,High
Data Analyst,Mumbai,EdTech,"power bi, sql, python",1,21,2023-03-28,114,Low
Cloud Engineer,Hyderabad,E-Commerce,"linux, aws, azure",8,4,2023-09-12,121,Medium
DevOps Engineer,Mumbai,IT,"aws, linux, kubernetes",3,23,2023-01-23,125,High
DevOps Engineer,Bangalore,IT,"aws, linux, kubernetes",6,13,2024-07-25,125,High
AI Engineer,Pune,HealthTech,"nlp, ai, ml",7,6,2024-08-20,120,Medium
AI Engineer,Bangalore,EdTech,"nlp, ml, ai",2,15,2024-12-27,120,Medium
Web Developer,Chennai,E-Commerce,"react, html, css",3,23,2024-11-24,112,Low
ML Engineer,Pune,E-Commerce,"python, ml, deep learning",3,24,2023-10-01,138,High
Cloud Engineer,Chennai,FinTech,"aws, docker, azure",2,23,2023-03-21,121,Medium
Web Developer,Chennai,IT,"html, css, react",2,8,2023-06-15,112,Low
ML Engineer (Remote),Hyderabad,HealthTech,"tensorflow, python, deep learning",3,17,2023-11-18,138,High
Cloud Engineer (Remote),Chennai,IT,"aws, linux, azure",3,10,2023-07-17,121,Medium
Data Analyst (Remote),Bangalore,HealthTech,"excel, power bi, sql",5,14,2024-01-18,114,Low
Data Scientist (Remote),Mumbai,FinTech,"statistics, ml, python",8,15,2023-10-12,114,Low
Data Scientist (Remote),Hyderabad,EdTech,"ml, python, statistics",5,20,2024-05-08,114,Low
Data Scientist,Delhi,E-Commerce,"statistics, sql, python",2,6,2024-06-06,114,Low
DevOps Engineer (Remote),Delhi,EdTech,"linux, aws, kubernetes",3,13,2023-05-19,125,High
Cyber Security Analyst (Remote),Hyderabad,HealthTech,"networking, linux, security",1,18,2023-12-23,127,High
Software Engineer,Delhi,IT,"python, java, oops",6,15,2023-12-05,115,Medium
DevOps Engineer (Remote),Chennai,IT,"kubernetes, docker, aws",6,14,2023-08-18,125,High
Software Engineer,Hyderabad,E-Commerce,"sql, oops, java",5,15,2023-02-11,115,Medium
Software Engineer (Remote),Pune,FinTech,"oops, java, python",6,6,2024-11-16,115,Medium
Data Scientist (Remote),Chennai,HealthTech,"ml, python, sql",6,12,2023-11-20,114,Low
ML Engineer,Hyderabad,IT,"tensorflow, ml, python",4,22,2023-01-04,138,High
Cyber Security Analyst,Chennai,HealthTech,"networking, security, linux",7,14,2024-05-19,127,High
Business Analyst,Hyderabad,FinTech,"excel, sql, communication",4,14,2024-06-23,114,Low
DevOps Engineer,Pune,HealthTech,"kubernetes, docker, linux",8,9,2023-10-14,125,High
Data Scientist,Hyderabad,HealthTech,"python, sql, statistics",4,10,2024-12-17,114,Low
Business Analyst (Remote),Delhi,EdTech,"excel, sql, communication",0,21,2024-04-09,114,Low
Data Scientist (Remote),Hyderabad,IT,"ml, statistics, sql",2,9,2023-11-13,114,Low
ML Engineer,Delhi,HealthTech,"deep learning, python, tensorflow",6,4,2024-03-07,138,High
DevOps Engineer,Pune,FinTech,"aws, linux, docker",8,10,2023-02-22,125,High
Cyber Security Analyst,Mumbai,E-Commerce,"security, linux, networking",4,25,2024-06-02,127,High
DevOps Engineer,Pune,EdTech,"aws, docker, kubernetes",0,9,2024-11-13,125,High
DevOps Engineer,Bangalore,HealthTech,"docker, linux, kubernetes",6,16,2024-09-12,125,High
ML Engineer,Pune,FinTech,"tensorflow, python, ml",2,16,2023-09-30,138,High
ML Engineer (Remote),Delhi,E-Commerce,"deep learning, python, ml",8,8,2024-02-16,138,High
Cyber Security Analyst,Pune,HealthTech,"security, networking, linux",0,15,2024-01-29,127,High
ML Engineer,Delhi,EdTech,"python, deep learning, tensorflow",0,9,2023-05-16,138,High
Business Analyst,Delhi,E-Commerce,"sql, communication, excel",1,23,2024-06-14,114,Low
Software Engineer,Hyderabad,HealthTech,"python, java, oops",8,19,2023-11-18,115,Medium
ML Engineer,Pune,HealthTech,"tensorflow, ml, deep learning",5,18,2024-06-13,138,High
Cloud Engineer (Remote),Mumbai,E-Commerce,"linux, azure, docker",6,25,2024-09-06,121,Medium
Cloud Engineer,Hyderabad,E-Commerce,"aws, azure, linux",5,13,2023-07-20,121,Medium
ML Engineer,Hyderabad,EdTech,"deep learning, ml, python",7,20,2023-01-27,138,High
DevOps Engineer,Delhi,HealthTech,"linux, aws, kubernetes",8,19,2023-01-01,125,High
Software Engineer (Remote),Pune,E-Commerce,"java, oops, python",1,12,2024-07-07,115,Medium
Data Analyst,Delhi,IT,"power bi, sql, excel",4,24,2023-11-14,114,Low
Data Scientist,Hyderabad,HealthTech,"python, sql, ml",3,22,2023-02-12,114,Low
Cyber Security Analyst (Remote),Delhi,EdTech,"security, networking, linux",0,8,2023-01-18,127,High
DevOps Engineer,Pune,HealthTech,"kubernetes, linux, docker",3,9,2023-02-08,125,High
Software Engineer (Remote),Bangalore,EdTech,"oops, python, java",2,15,2023-02-25,115,Medium
Cyber Security Analyst (Remote),Pune,FinTech,"networking, linux, security",7,13,2024-02-04,127,High
Cyber Security Analyst,Mumbai,IT,"linux, networking, security",3,7,2024-04-06,127,High
AI Engineer,Mumbai,FinTech,"nlp, ml, ai",5,7,2024-11-27,120,Medium
Cyber Security Analyst,Mumbai,FinTech,"networking, linux, security",4,12,2023-11-24,127,High
Data Analyst,Delhi,E-Commerce,"excel, power bi, sql",3,11,2023-12-15,114,Low
Business Analyst,Delhi,HealthTech,"sql, communication, excel",0,12,2024-01-01,114,Low
ML Engineer (Remote),Chennai,HealthTech,"tensorflow, deep learning, ml",2,17,2023-12-30,138,High
DevOps Engineer (Remote),Hyderabad,FinTech,"docker, linux, aws",5,22,2023-07-21,125,High
Data Analyst,Chennai,HealthTech,"python, excel, power bi",0,18,2024-01-19,114,Low
Cyber Security Analyst,Delhi,EdTech,"linux, networking, security",7,10,2024-01-15,127,High
Cloud Engineer,Bangalore,IT,"docker, azure, linux",0,4,2023-10-31,121,Medium
Data Scientist,Mumbai,E-Commerce,"sql, python, statistics",4,25,2023-09-02,114,Low
DevOps Engineer (Remote),Bangalore,HealthTech,"docker, kubernetes, aws",7,25,2023-04-11,125,High
ML Engineer,Delhi,HealthTech,"ml, tensorflow, python",6,21,2024-03-12,138,High
Data Analyst (Remote),Mumbai,FinTech,"power bi, excel, python",3,19,2023-07-16,114,Low
DevOps Engineer,Hyderabad,FinTech,"kubernetes, docker, aws",2,11,2024-03-17,125,High
Cloud Engineer,Hyderabad,FinTech,"azure, aws, docker",1,18,2023-09-08,121,Medium
Data Analyst,Delhi,E-Commerce,"python, excel, sql",4,18,2024-09-17,114,Low
Cloud Engineer,Chennai,FinTech,"aws, docker, azure",8,3,2024-06-22,121,Medium
Data Analyst (Remote),Bangalore,E-Commerce,"python, excel, sql",5,5,2023-10-30,114,Low
Cloud Engineer (Remote),Pune,IT,"aws, azure, linux",2,20,2024-03-21,121,Medium
ML Engineer,Pune,E-Commerce,"deep learning, python, ml",6,13,2024-11-15,138,High
ML Engineer,Bangalore,EdTech,"tensorflow, python, deep learning",0,3,2023-02-04,138,High
DevOps Engineer (Remote),Pune,E-Commerce,"docker, aws, kubernetes",4,8,2024-05-03,125,High
ML Engineer (Remote),Delhi,FinTech,"python, deep learning, ml",1,24,2024-02-14,138,High
DevOps Engineer,Hyderabad,FinTech,"docker, linux, aws",0,15,2024-04-04,125,High
Business Analyst (Remote),Hyderabad,EdTech,"sql, excel, communication",3,24,2023-10-18,114,Low
Business Analyst,Delhi,HealthTech,"sql, excel, communication",1,21,2023-01-10,114,Low
Data Scientist,Mumbai,E-Commerce,"ml, sql, python",0,7,2023-07-22,114,Low
Business Analyst (Remote),Bangalore,HealthTech,"sql, communication, excel",5,23,2023-04-30,114,Low
ML Engineer (Remote),Bangalore,HealthTech,"tensorflow, ml, python",4,8,2023-04-24,138,High
AI Engineer,Chennai,EdTech,"python, ai, ml",8,20,2023-03-31,120,Medium
Cyber Security Analyst,Delhi,E-Commerce,"security, linux, networking",0,25,2024-02-05,127,High
Cloud Engineer,Mumbai,EdTech,"aws, docker, azure",4,4,2024-03-13,121,Medium
Cyber Security Analyst,Delhi,E-Commerce,"linux, networking, security",3,17,2023-04-30,127,High
AI Engineer,Mumbai,FinTech,"ai, nlp, python",6,19,2024-03-24,120,Medium
Business Analyst,Hyderabad,FinTech,"communication, excel, sql",2,7,2023-07-29,114,Low
Cloud Engineer,Chennai,HealthTech,"docker, aws, azure",2,13,2023-11-06,121,Medium
AI Engineer,Bangalore,E-Commerce,"ai, ml, python",6,22,2023-03-09,120,Medium
Cloud Engineer (Remote),Delhi,FinTech,"linux, azure, docker",3,22,2024-12-20,121,Medium
Software Engineer,Pune,E-Commerce,"sql, oops, python",8,11,2024-06-23,115,Medium
Cloud Engineer,Pune,HealthTech,"docker, azure, aws",1,5,2023-08-16,121,Medium
DevOps Engineer,Mumbai,E-Commerce,"kubernetes, linux, aws",2,12,2024-11-19,125,High
DevOps Engineer,Delhi,FinTech,"docker, linux, aws",1,14,2023-05-05,125,High
Cloud Engineer (Remote),Pune,E-Commerce,"azure, linux, docker",4,3,2023-11-04,121,Medium
ML Engineer,Delhi,EdTech,"ml, python, deep learning",4,12,2024-07-24,138,High
ML Engineer (Remote),Bangalore,EdTech,"tensorflow, ml, python",0,3,2023-04-24,138,High
Web Developer,Chennai,HealthTech,"react, html, css",3,24,2024-05-30,112,Low
Cyber Security Analyst (Remote),Hyderabad,E-Commerce,"networking, security, linux",5,9,2024-02-19,127,High
Web Developer (Remote),Delhi,IT,"javascript, html, css",2,22,2024-06-16,112,Low
Cyber Security Analyst (Remote),Mumbai,IT,"networking, linux, security",7,10,2024-05-09,127,High
AI Engineer,Delhi,IT,"ml, ai, nlp",3,10,2023-05-21,120,Medium
Software Engineer,Chennai,E-Commerce,"oops, sql, java",1,15,2023-06-30,115,Medium
Data Analyst,Mumbai,FinTech,"sql, python, excel",2,8,2024-11-08,114,Low
Software Engineer,Hyderabad,EdTech,"java, sql, oops",8,25,2023-11-09,115,Medium
Software Engineer,Mumbai,FinTech,"sql, python, java",6,14,2023-05-14,115,Medium
Data Scientist (Remote),Delhi,HealthTech,"ml, sql, statistics",7,19,2024-07-10,114,Low
Web Developer,Mumbai,HealthTech,"react, css, html",3,9,2023-07-28,112,Low
Business Analyst (Remote),Chennai,E-Commerce,"sql, communication, excel",3,21,2023-02-23,114,Low
Business Analyst,Hyderabad,IT,"communication, excel, sql",7,8,2024-06-07,114,Low
DevOps Engineer (Remote),Chennai,FinTech,"kubernetes, aws, docker",2,3,2024-11-12,125,High
Business Analyst,Hyderabad,E-Commerce,"sql, excel, communication",5,16,2024-03-21,114,Low
AI Engineer (Remote),Bangalore,FinTech,"ml, ai, python",6,10,2024-08-28,120,Medium
Web Developer,Hyderabad,IT,"css, react, javascript",2,22,2024-07-30,112,Low
Web Developer,Mumbai,IT,"react, html, css",6,20,2023-04-25,112,Low
ML Engineer,Bangalore,IT,"deep learning, ml, tensorflow",2,10,2024-04-03,138,High
Software Engineer (Remote),Delhi,FinTech,"sql, python, oops",7,15,2023-05-16,115,Medium
Data Analyst,Mumbai,EdTech,"python, power bi, sql",8,15,2023-04-06,114,Low
AI Engineer,Chennai,E-Commerce,"ai, nlp, ml",5,24,2024-02-26,120,Medium
Data Analyst,Bangalore,EdTech,"python, power bi, excel",8,21,2023-03-08,114,Low
Data Analyst,Mumbai,E-Commerce,"excel, python, power bi",6,24,2024-08-14,114,Low
Cloud Engineer,Chennai,FinTech,"azure, docker, aws",8,5,2024-12-04,121,Medium
Cloud Engineer,Pune,HealthTech,"azure, aws, linux",0,7,2024-12-25,121,Medium
Software Engineer,Hyderabad,IT,"oops, sql, python",7,5,2023-01-17,115,Medium
AI Engineer,Chennai,EdTech,"python, ml, ai",1,14,2023-11-05,120,Medium
DevOps Engineer,Chennai,FinTech,"kubernetes, linux, docker",8,10,2024-01-14,125,High
Cloud Engineer (Remote),Hyderabad,EdTech,"linux, docker, azure",3,25,2023-10-04,121,Medium
Cloud Engineer (Remote),Delhi,FinTech,"docker, aws, azure",0,22,2024-08-27,121,Medium
Data Scientist,Chennai,HealthTech,"ml, sql, statistics",0,12,2024-01-30,114,Low
Data Analyst,Hyderabad,IT,"sql, power bi, excel",6,20,2023-10-26,114,Low
Software Engineer,Bangalore,E-Commerce,"sql, java, oops",5,17,2023-05-21,115,Medium
Software Engineer,Pune,HealthTech,"java, oops, python",7,12,2023-03-04,115,Medium
Data Analyst (Remote),Pune,E-Commerce,"excel, python, sql",7,10,2024-07-09,114,Low
Cloud Engineer (Remote),Pune,EdTech,"linux, docker, azure",6,11,2023-01-07,121,Medium
ML Engineer,Mumbai,EdTech,"ml, deep learning, tensorflow",4,24,2023-10-25,138,High
Data Scientist,Pune,HealthTech,"statistics, sql, python",3,24,2024-11-23,114,Low
Data Scientist,Bangalore,EdTech,"sql, ml, statistics",0,7,2023-01-29,114,Low
DevOps Engineer (Remote),Mumbai,IT,"kubernetes, linux, docker",4,23,2024-11-08,125,High
Data Analyst,Chennai,E-Commerce,"power bi, sql, python",7,18,2023-07-04,114,Low
Business Analyst,Chennai,EdTech,"excel, sql, communication",3,12,2023-12-10,114,Low
Data Analyst,Bangalore,IT,"excel, power bi, python",3,10,2023-07-14,114,Low
Software Engineer,Pune,IT,"sql, java, oops",6,16,2024-06-17,115,Medium
Business Analyst (Remote),Chennai,HealthTech,"excel, sql, communication",8,6,2024-03-11,114,Low
Software Engineer,Mumbai,IT,"oops, java, sql",5,24,2024-10-23,115,Medium
AI Engineer,Mumbai,IT,"nlp, ml, ai",1,23,2024-04-28,120,Medium
Cyber Security Analyst (Remote),Delhi,FinTech,"linux, networking, security",0,23,2024-02-02,127,High
Cyber Security Analyst,Pune,EdTech,"networking, security, linux",6,16,2023-01-01,127,High
ML Engineer,Mumbai,FinTech,"python, ml, tensorflow",2,6,2023-08-29,138,High
Business Analyst,Chennai,E-Commerce,"excel, communication, sql",4,13,2023-02-04,114,Low
Cyber Security Analyst,Delhi,FinTech,"linux, security, networking",2,19,2023-04-11,127,High
Cloud Engineer,Pune,IT,"azure, docker, linux",5,7,2023-06-03,121,Medium
Cyber Security Analyst,Mumbai,IT,"linux, networking, security",5,9,2024-11-27,127,High
Software Engineer,Pune,IT,"oops, sql, python",6,8,2023-06-02,115,Medium
Web Developer,Pune,E-Commerce,"css, html, javascript",0,19,2023-12-25,112,Low
DevOps Engineer (Remote),Chennai,EdTech,"linux, kubernetes, aws",0,9,2024-02-17,125,High
AI Engineer (Remote),Mumbai,HealthTech,"python, ml, ai",2,22,2023-01-25,120,Medium
Software Engineer,Delhi,FinTech,"oops, python, java",6,25,2024-11-11,115,Medium
AI Engineer,Chennai,E-Commerce,"python, ai, ml",4,16,2024-04-14,120,Medium
Cyber Security Analyst,Hyderabad,FinTech,"networking, security, linux",5,19,2024-10-16,127,High
Business Analyst (Remote),Hyderabad,IT,"excel, communication, sql",2,14,2023-05-15,114,Low
Software Engineer,Chennai,EdTech,"oops, python, java",8,8,2024-08-23,115,Medium
Cyber Security Analyst,Chennai,HealthTech,"networking, linux, security",7,18,2024-08-07,127,High
Business Analyst,Mumbai,EdTech,"sql, communication, excel",4,14,2024-05-07,114,Low
Software Engineer,Hyderabad,HealthTech,"oops, java, sql",2,16,2024-03-02,115,Medium
AI Engineer,Delhi,E-Commerce,"ml, ai, python",0,24,2023-03-08,120,Medium
Cyber Security Analyst,Delhi,E-Commerce,"networking, security, linux",0,22,2024-04-02,127,High
Cyber Security Analyst,Hyderabad,EdTech,"security, networking, linux",7,10,2024-07-01,127,High
Web Developer (Remote),Hyderabad,E-Commerce,"html, javascript, react",3,7,2023-01-17,112,Low
Business Analyst (Remote),Hyderabad,FinTech,"excel, sql, communication",4,11,2023-02-13,114,Low
ML Engineer,Pune,IT,"ml, python, tensorflow",2,17,2023-06-10,138,High
Cyber Security Analyst,Bangalore,E-Commerce,"networking, linux, security",0,3,2023-11-28,127,High
DevOps Engineer,Bangalore,IT,"linux, docker, kubernetes",2,6,2023-11-11,125,High
Business Analyst,Chennai,EdTech,"communication, excel, sql",4,11,2024-05-12,114,Low
AI Engineer,Bangalore,EdTech,"nlp, ml, python",7,24,2024-07-24,120,Medium
ML Engineer,Hyderabad,HealthTech,"ml, tensorflow, python",8,20,2023-02-18,138,High
ML Engineer,Pune,HealthTech,"tensorflow, ml, python",6,15,2023-01-06,138,High
Business Analyst,Delhi,HealthTech,"communication, sql, excel",3,23,2023-12-31,114,Low
Software Engineer (Remote),Pune,FinTech,"java, python, sql",6,10,2024-12-30,115,Medium
ML Engineer,Bangalore,E-Commerce,"tensorflow, deep learning, python",7,13,2024-07-01,138,High
Data Scientist (Remote),Chennai,FinTech,"python, statistics, ml",5,17,2024-02-08,114,Low
Business Analyst,Delhi,E-Commerce,"communication, excel, sql",7,3,2024-11-27,114,Low
Business Analyst,Bangalore,FinTech,"excel, communication, sql",3,17,2024-01-27,114,Low
ML Engineer (Remote),Mumbai,EdTech,"deep learning, tensorflow, python",4,8,2024-01-10,138,High
Data Analyst,Hyderabad,E-Commerce,"sql, python, excel",1,9,2024-10-24,114,Low
Cyber Security Analyst,Pune,HealthTech,"networking, security, linux",8,24,2023-06-16,127,High
Cyber Security Analyst,Delhi,FinTech,"security, linux, networking",4,17,2024-04-22,127,High
Cloud Engineer (Remote),Chennai,FinTech,"docker, linux, azure",3,10,2023-07-03,121,Medium
AI Engineer,Chennai,FinTech,"ml, nlp, python",2,20,2025-01-01,120,Medium
Web Developer,Chennai,HealthTech,"css, html, javascript",4,13,2024-11-15,112,Low
Cyber Security Analyst,Mumbai,EdTech,"security, linux, networking",7,8,2023-12-26,127,High
AI Engineer,Hyderabad,IT,"ai, ml, python",6,16,2023-12-06,120,Medium
Data Scientist,Chennai,E-Commerce,"statistics, ml, python",0,15,2024-07-16,114,Low
ML Engineer,Bangalore,FinTech,"ml, tensorflow, deep learning",8,14,2023-09-26,138,High
Data Analyst,Chennai,FinTech,"sql, python, excel",1,7,2024-04-17,114,Low
Web Developer,Hyderabad,FinTech,"javascript, css, html",5,18,2023-07-01,112,Low
Data Analyst,Pune,HealthTech,"power bi, excel, sql",5,23,2023-12-20,114,Low
Business Analyst (Remote),Chennai,EdTech,"communication, excel, sql",6,23,2024-06-25,114,Low
DevOps Engineer (Remote),Chennai,EdTech,"kubernetes, linux, aws",5,7,2024-10-22,125,High
Business Analyst,Hyderabad,HealthTech,"sql, communication, excel",6,12,2023-06-18,114,Low
Software Engineer,Delhi,EdTech,"oops, java, sql",5,15,2024-02-13,115,Medium
Web Developer,Chennai,IT,"css, react, javascript",3,20,2023-05-15,112,Low
Software Engineer (Remote),Hyderabad,FinTech,"java, sql, oops",7,17,2023-09-20,115,Medium
Cyber Security Analyst (Remote),Bangalore,E-Commerce,"linux, networking, security",4,17,2023-01-16,127,High
Data Scientist (Remote),Bangalore,IT,"ml, python, statistics",1,14,2023-02-02,114,Low
Software Engineer,Pune,HealthTech,"oops, sql, python",1,20,2023-11-19,115,Medium
AI Engineer,Bangalore,HealthTech,"ai, nlp, ml",4,21,2024-03-20,120,Medium
Data Analyst,Chennai,EdTech,"sql, power bi, python",6,3,2023-08-04,114,Low
Web Developer,Hyderabad,HealthTech,"css, javascript, react",0,24,2024-10-15,112,Low
AI Engineer,Bangalore,EdTech,"ml, ai, nlp",2,13,2023-04-23,120,Medium
AI Engineer (Remote),Mumbai,HealthTech,"python, nlp, ml",7,9,2024-10-30,120,Medium
DevOps Engineer,Pune,EdTech,"docker, linux, aws",2,9,2023-11-04,125,High
Software Engineer,Delhi,FinTech,"sql, java, python",1,25,2024-09-07,115,Medium
Software Engineer,Bangalore,HealthTech,"python, oops, java",6,23,2024-03-05,115,Medium
Cloud Engineer,Chennai,HealthTech,"linux, aws, azure",5,20,2023-09-01,121,Medium
Web Developer,Chennai,FinTech,"react, javascript, css",4,4,2024-04-29,112,Low
DevOps Engineer,Chennai,FinTech,"aws, docker, kubernetes",8,5,2024-12-07,125,High
Cyber Security Analyst (Remote),Pune,E-Commerce,"networking, linux, security",5,6,2023-06-23,127,High
Data Scientist,Bangalore,FinTech,"ml, python, statistics",6,7,2023-05-04,114,Low
AI Engineer,Pune,E-Commerce,"ai, python, nlp",0,21,2023-04-01,120,Medium
Data Analyst (Remote),Bangalore,E-Commerce,"power bi, sql, python",1,24,2024-02-20,114,Low
AI Engineer,Delhi,FinTech,"nlp, python, ai",2,11,2023-07-03,120,Medium
Cyber Security Analyst,Delhi,IT,"security, linux, networking",1,4,2023-04-16,127,High
ML Engineer,Pune,HealthTech,"python, deep learning, tensorflow",3,22,2023-07-01,138,High
Data Analyst (Remote),Bangalore,EdTech,"excel, sql, power bi",1,16,2024-09-29,114,Low
ML Engineer,Pune,IT,"python, tensorflow, deep learning",2,3,2024-02-16,138,High
Cyber Security Analyst (Remote),Hyderabad,EdTech,"networking, security, linux",7,16,2024-07-25,127,High
DevOps Engineer (Remote),Hyderabad,E-Commerce,"linux, kubernetes, aws",2,16,2023-01-11,125,High
Software Engineer (Remote),Mumbai,HealthTech,"sql, python, oops",6,10,2024-04-28,115,Medium
Software Engineer (Remote),Bangalore,EdTech,"sql, python, oops",7,10,2023-01-29,115,Medium
Data Scientist (Remote),Hyderabad,HealthTech,"python, sql, statistics",7,23,2024-02-14,114,Low
Cyber Security Analyst (Remote),Delhi,IT,"linux, networking, security",6,8,2023-07-26,127,High
Cloud Engineer,Pune,FinTech,"linux, azure, docker",7,19,2023-07-19,121,Medium
Cyber Security Analyst (Remote),Delhi,FinTech,"linux, networking, security",6,18,2023-06-02,127,High
Cyber Security Analyst (Remote),Delhi,IT,"linux, security, networking",2,6,2023-10-28,127,High
Software Engineer,Mumbai,E-Commerce,"java, python, sql",0,18,2023-04-18,115,Medium
Cloud Engineer,Mumbai,EdTech,"docker, linux, aws",8,16,2023-02-01,121,Medium
DevOps Engineer,Delhi,E-Commerce,"docker, aws, kubernetes",6,24,2024-07-09,125,High
Web Developer (Remote),Delhi,IT,"react, css, javascript",5,14,2023-04-07,112,Low
DevOps Engineer (Remote),Bangalore,FinTech,"aws, docker, kubernetes",2,6,2023-12-05,125,High
Cyber Security Analyst (Remote),Chennai,E-Commerce,"linux, networking, security",6,15,2023-07-06,127,High
DevOps Engineer (Remote),Hyderabad,FinTech,"docker, kubernetes, linux",2,5,2023-08-19,125,High
Software Engineer (Remote),Delhi,FinTech,"java, sql, oops",8,25,2024-06-04,115,Medium
DevOps Engineer (Remote),Delhi,EdTech,"docker, aws, linux",3,24,2023-02-15,125,High
DevOps Engineer (Remote),Chennai,E-Commerce,"linux, aws, docker",7,17,2023-08-18,125,High
